name,description,serving_size,calories,protein,carbs,fats,sugar,date,protein_per_calorie,calories_per_protein
Fresh Chopped Garlic,,1 tsp,0,0,0,0,0,2025-11-19,,
General Tso's Sauce,,1 floz,60,0,16,0,14,2025-11-19,,
Sesame Seed Mix,,1/2 tsp,10,0,0,1,0,2025-11-19,,
Chow Mein Noodles,,1 tbsp,15,0,2,0,0,2025-11-19,,
Crushed Red Pepper,,1/2 tsp,0,0,0,0,0,2025-11-19,,
Grilled Zucchini,,1/4 cup,15,0,2,1,1,2025-11-19,,
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,,
Sliced Tomatoes,,1 slice,0,0,0,0,0,2025-11-19,,
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,,
Dill Pickle Slices,,4 each,0,0,0,0,0,2025-11-19,,
Dill Pickle Slices,,2 each,0,0,0,0,0,2025-11-19,,
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,,
Sliced Tomatoes,,2 slice,0,0,1,0,0,2025-11-19,,
Sliced Red Onion,,1 slice,5,0,1,0,0,2025-11-19,,
Sliced Banana Peppers,,1 ounce,0,0,0,0,0,2025-11-19,,
Sliced Cucumber,,1/4 cup,0,0,0,0,0,2025-11-19,,
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,,
Chipotle Mayo,,1 tbsp,60,0,2,6,0,2025-11-19,,
Pesto Mayo,,1 oz portion,180,0,0,20,0,2025-11-19,,
Horseradish Mayo,,2 tbsp,110,0,3,11,0,2025-11-19,,
Diced Onions,,1/4 cup,15,0,4,0,2,2025-11-19,,
Diced Tomatoes,,1 ounce,5,0,1,0,0,2025-11-19,,
Red Pepper Sticks,,1/2 cup,20,0,4,0,3,2025-11-19,,
Chopped Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,,
Grated Parmesan Cheese,,1 tsp,10,0,0,0,0,2025-11-19,,
Crushed Red Pepper,,1/8 tsp,0,0,0,0,0,2025-11-19,,
Dried Oregano,,1 tsp,0,0,0,0,0,2025-11-19,,
Chopped Romaine Lettuce,,1 cup,10,0,2,0,0,2025-11-19,,
Baby Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,,
Shredded Carrots,,1/4 cup,10,0,3,0,1,2025-11-19,,
Sliced Cucumber,,1/4 cup,0,0,0,0,0,2025-11-19,,
Grape Tomatoes,,1/4 cup,5,0,1,0,0,2025-11-19,,
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,,
Pickled Beets,,1/2 cup,25,0,5,0,0,2025-11-19,,
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,,
Sliced Black Olives,,1/4 cup,40,0,2,4,0,2025-11-19,,
Dried Cranberries,,1 tbsp,30,0,8,0,7,2025-11-19,,
Homestyle Ranch Dressing,,1 floz,100,0,0,11,0,2025-11-19,,
Balsamic Vinaigrette Dressing,,1 floz,60,0,5,5,4,2025-11-19,,
Dijon Honey Dressing,,1 floz,130,0,7,12,6,2025-11-19,,
French Dressing,,1 floz,120,0,5,11,5,2025-11-19,,
Fat Free Italian Dressing,,1 floz,15,0,3,0,2,2025-11-19,,
Olive Oil,,1 floz,240,0,0,27,0,2025-11-19,,
Red Wine Vinegar,,1 floz,5,0,0,0,0,2025-11-19,,
Crushed Red Pepper,,1 tsp,5,0,1,0,0,2025-11-19,,
Dried Oregano,,1 tsp,0,0,0,0,0,2025-11-19,,
Grated Parmesan Cheese,,1 tsp,10,0,0,0,0,2025-11-19,,
Cubed Pineapple,,1/4 cup,20,0,5,0,4,2025-11-19,,
Cubed Cantaloupe,,1/4 cup,15,0,3,0,3,2025-11-19,,
Cubed Honeydew,,1/4 cup,15,0,4,0,3,2025-11-19,,
Red Grapes,,1/2 cup,50,0,14,0,12,2025-11-19,,
Cream Cheese,,1 tbsp,50,0,0,5,0,2025-11-19,,
Strawberry Jelly Preserves,,1 tbsp,50,0,13,0,12,2025-11-19,,
Grape Jelly,,1 tbsp,50,0,13,0,12,2025-11-19,,
"Crackers, Saltine, 2 CT, Zesta",,1 each,25,0,5,0,0,2025-11-19,,
Mini Lemon Blueberry Cupcake,,1 each,120,0,19,4,0,2025-11-19,,
Roasted Yellow Squash,N/A,1/2 cup,40,0,4,0,3,2025-11-19,0.0,0.0
Thai Turkey Bowl,N/A,1 plate,0,0,0,0,0,2025-11-19,0.0,0.0
Mango Chow,N/A,2 ounce,25,0,7,0,5,2025-11-19,0.0,0.0
Thai Basil Vinaigrette,N/A,2 floz,200,0,7,19,6,2025-11-19,0.0,0.0
Chopped Onion,N/A,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Chopped Cilantro,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Tamarind Chutney,N/A,2 ounce,140,0,34,0,30,2025-11-19,0.0,0.0
Julienne Yellow Onions,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Sliced Mushrooms,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Green Bell Pepper,N/A,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Shredded Carrots,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Baby Spinach,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Thai Basil,N/A,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Chopped Green Onions,N/A,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Ginger Root,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Chopped Garlic,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
General Tso's Sauce,N/A,1 floz,60,0,16,0,14,2025-11-19,0.0,0.0
Sesame Seed Mix,N/A,1/2 tsp,10,0,0,1,0,2025-11-19,0.0,0.0
Chow Mein Noodles,N/A,1 tbsp,15,0,2,0,0,2025-11-19,0.0,0.0
Crushed Red Pepper,N/A,1/2 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
